name,link,year_from,year_to,college,first,last,nbaID,bbrID
Mark Blount,/players/b/blounma01.html,2001,2009,University of Pittsburgh,Blount,Mark,1548,blounma01
Vander Blue,/players/b/blueva01.html,2014,2015,Marquette University,Blue,Vander,203505,blueva01
Ray Blume,/players/b/blumera01.html,1982,1982,Oregon State University,Blume,Ray,76189,blumera01
Tony Bobbitt,/players/b/bobbito01.html,2005,2005,University of Cincinnati,Bobbitt,Tony,2800,bobbito01
Tom Boerwinkle,/players/b/boerwto01.html,1969,1978,University of Tennessee,Boerwinkle,Tom,76192,boerwto01
Keith Bogans,/players/b/boganke01.html,2004,2014,University of Kentucky,Bogans,Keith,2586,boganke01
Bojan Bogdanovic,/players/b/bogdabo02.html,2015,2017,,Bogdanovic,Bojan,202711,bogdabo02
Muggsy Bogues,/players/b/boguemu01.html,1988,2001,Wake Forest University,Bogues,Muggsy,177,boguemu01
Andrew Bogut,/players/b/bogutan01.html,2006,2017,University of Utah,Bogut,Andrew,101106,bogutan01
Etdrick Bohannon,/players/b/bohanet01.html,1998,2001,Auburn University at Montgomery,Bohannon,Etdrick,1564,bohanet01
Manute Bol,/players/b/bolma01.html,1986,1995,University of Bridgeport,Bol,Manute,76195,bolma01
Joel Bolomboy,/players/b/bolomjo01.html,2017,2017,Weber State University,Bolomboy,Joel,1627762,bolomjo01
Phil Bond,/players/b/bondph01.html,1978,1978,University of Louisville,Bond,Phil,76198,bondph01
Walter Bond,/players/b/bondwa01.html,1993,1995,University of Minnesota,Bond,Walter,1603,bondwa01
Dexter Boney,/players/b/boneyde01.html,1997,1997,"University of Nevada, Las Vegas",Boney,Dexter,1121,boneyde01
